EPRI parameter name,SBSE,STP X,STP CORE1,SHP PEAK3,Formula or equation (if applicable)
NP_P_MAX-AS,Inverter.Wmax,Inverter.Wmax,Set active power limit,Set active power limit,NP_P_MAX-SS
NP_P_MAX_OVER_PF-AS,,,,,NP_OVER_PF-SS*NP_P_MAX-SS
NP_OVER_PF-AS,Inverter.PFMinQ1,Inverter.PFMinQ1,Nominal cos φ PFMinQ1,Nominal cos φ PFMinQ1,NP_VA_MAX-SS
NP_P_MAX_UNDER_PF-AS,,,,,NP_Under_PF-SS*NP_P_MAX-SS
NP_UNDER_PF-AS,Inverter.PFMinQ4,Inverter.PFMinQ4,Nominal cos φ PFMinQ4,Nominal cos φ PFMinQ4,NP_P_MAX-SS
NP_VA_MAX-AS,Inverter.VAMaxOut,Inverter.VAMaxOut,Nominal apparent power VAMaxOut,Nominal apparent power VAMaxOut,NP_VA_MAX-SS
NP_NORMAL_OP_CAT,,,,,CAT_A-CAT_B
NP_NORMAL_OP-AS,,,,,"IF(OR(ISNUMBER(SEARCH(""A"",UPPER(NP_NORMAL_OP_CAT))),ISNUMBER(SEARCH(""B"",UPPER(NP_NORMAL_OP_CAT)))),CAT_B,"""")"
NP_ABNORMAL_OP_CAT,,,,,CAT_I-CAT_II-CAT_III
NP_ABNORMAL_OP-AS,,,,,"IF(OR(ISNUMBER(SEARCH(""I"",UPPER(NP_ABNORMAL_OP_CAT))),ISNUMBER(SEARCH(""II"",UPPER(NP_ABNORMAL_OP_CAT))),ISNUMBER(SEARCH(""III"",UPPER(NP_ABNORMAL_OP_CAT)))),CAT_III,"""")"
NP_Q_MAX_INJ-AS,,,,,NP_Q_MAX_INJ-SS
NP_Q_MAX_ABS-AS,,,,,(-1)*NP_Q_MAX_ABS-SS
NP_P_MAX_CHARGE-AS,Inverter.WMaxIn,Inverter.WMaxIn,Nominal active power WMaxIn,Nominal active power WMaxIn,NP_P_MAX_CHARGE-SS
NP_APPARENT_POWER_CHARGE_MAX-AS,Inverter.VAMaxIn ,Inverter.VAMaxIn ,Nominal apparent power VAMaxIn,Nominal apparent power VAMaxIn,NP_APPARENT_POWER_CHARGE_MAX-SS
NP_AC_V_NOM-AS,Inverter.PlntCtl.VRef,Inverter.PlntCtl.VRef,Grid nominal voltage,Grid nominal voltage,NP_AC_V_NOM-SS
NP_AC_V_MAX-AS,,,,,NP_AC_V_NOM-SS*1.1
NP_AC_V_MIN-AS,,,,,NP_AC_V_NOM-SS*0.88
NP_SUPPORTED_MODES,,,,,CONST_PF-CONST_Q-QV-QP-PV-PF
NP_REACTIVE_SUSCEPTANCE,,,,,0
NP_MANUFACTURER,,,,,SMA
NP_MODEL,Parameter.Nameplate.ModelStr,Parameter.Nameplate.ModelStr,Type designation,Type designation,NP_MODEL
NP_SERIAL_NUM,Parameter.Nameplate.SerNum,Parameter.Nameplate.SerNum,Serial number,Serial number,NP_SERIAL_NUM
NP_FW_VER,Parameter.Nameplate.PkgRev,Parameter.Nameplate.PkgRev,Firmware version,Firmware version,NP_FW_VER
AP_LIMIT_ENABLE-AS,Inverter.WModCfg.WCnstCfg.WNom,Inverter.WModCfg.WCnstCfg.WNom,"Active power limitation P, active power configuration","Active power limitation P, active power configuration","IF(OR(Inverter.WModCfg.WCnstCfg.W>0,Inverter.WModCfg.WCnstCfg.Wnom>0),""ENABLED"",""DISABLED"")"
AP_LIMIT-AS,Inverter.WModCfg.WCnstCfg.WNom,Inverter.WModCfg.WCnstCfg.WNom,"Active power limitation P, active power configuration","Active power limitation P, active power configuration","IF(AP_LIMIT_ENABLE-SS>0,AP_LIMIT-SS*100,"""")"
ES_PERMIT_SERVICE-AS,Operation.OpMod,Operation.OpMod,"General operating mode	","General operating mode	","IF(Operation.OpMod=""Start"",""ENABLED"",""DISABLED"")"
ES_V_LOW-AS,GridGuard.Cntry.VolCtl.ConnMinPu,GridGuard.Cntry.VolCtl.ConnMinPu,"Minimum connection voltage after restart	","Minimum connection voltage after restart	",ES_V_LOW-SS
ES_V_HIGH-AS,GridGuard.Cntry.VolCtl.ConnMaxPu,GridGuard.Cntry.VolCtl.ConnMaxPu,"Maximum connection voltage after restart	","Maximum connection voltage after restart	",ES_V_HIGH-SS
ES_F_LOW-AS,GridGuard.Cntry.FrqCtl.ConnMin,GridGuard.Cntry.FrqCtl.ConnMin,"Minimum connection frequency after restart	","Minimum connection frequency after restart	",ES_F_LOW-SS
ES_F_HIGH-AS,GridGuard.Cntry.FrqCtl.ConnMax,GridGuard.Cntry.FrqCtl.ConnMax,"Maximum connection frequency after restart	","Maximum connection frequency after restart	",ES_F_HIGH-SS
ES_DELAY-AS,GridGuard.Cntry.GriStrTms,GridGuard.Cntry.GriStrTms,"Reconnection time upon restart	","Reconnection time upon restart	",ES_DELAY-SS
ES_RANDOMIZED_DELAY-AS,Inverter.WCtlHzModCfg.WCtlHzCfg.WCtlTmms,Inverter.WCtlHzModCfg.WCtlHzCfg.WCtlTmms,"P(f), tripping delay","P(f), tripping delay",ES_RANDOMIZED_DELAY-SS
ES_RAMP_RATE-AS,Inverter.WGraConn    ,Inverter.WGraConn    ,"Soft start-up rate P	","Soft start-up rate P	",6000/ES_RAMP_RATE-SS
CONST_PF_MODE_ENABLE-AS,,,,,"IF(Inverter.VArModCfg.VArModOut=""Q, manual setting in %"",""ENABLED"",""DISABLED"")"
CONST_PF_EXCITATION-AS,Inverter.VArModCfg.PFCnstCfg.PFExtOut,Inverter.VArModCfg.PFCnstCfg.PFExtOut,"Manual cos φ setting, excitation type in case of active power generation	","Manual cos φ setting, excitation type in case of active power generation	",CONST_PF_EXCITATION-SS
CONST_PF-AS,Inverter.VArModCfg.PFCnstCfg.PFOut,Inverter.VArModCfg.PFCnstCfg.PFOut,"Manual cos φ setting, cos φ nominal value in case of active power generation	","Manual cos φ setting, cos φ nominal value in case of active power generation	","IF(Inverter.VArModCfg.VArModOut=""Q, manual setting in %"",Inverter.VArModCfg.PFCnstCfg.PFOut,"""")"
CONST_Q_MODE_ENABLE-AS,,,,,"IF(Inverter.VArModCfg.VArModOut=""Q, manual setting in var"",""ENABLED"",""DISABLED"")"
CONST_Q-AS,Inverter.VArModCfg.VArCnstCfg.VArNom,Inverter.VArModCfg.VArCnstCfg.VArNom,Manual reactive power setting for active power output,Manual reactive power setting for active power output,"scaleVArSettingOnImport(1,CONST_Q-SS)"
QV_MODE_ENABLE-AS,,,,,"IF(Inverter.VArModCfg.VArModOut=""Q(V) characteristic curve"",""ENABLED"",""DISABLED"")"
QV_VREF-AS,Inverter.CtlComCfg.VArCtlVolCom.FlbVolRefPu,Inverter.CtlComCfg.VArCtlVolCom.FlbVolRefPu,"Q(V), fallback of reference voltage	","Q(V), fallback of reference voltage	",QV_VREF-SS
QV_VREF_AUTO_MODE-AS,Inverter.VArModCfg.VArCtlVolCfg.VolRef.AutnAdjMod,Inverter.VArModCfg.VArCtlVolCfg.VolRef.AutnAdjMod,"Q(V), operating mode for reference voltage adaption	","Q(V), operating mode for reference voltage adaption	","IF(QV_VREF_AUTO_MODE=""On"",""ENABLED"",""DISABLED"")"
QV_VREF_TIME-AS,Inverter.VArModCfg.VArCtlVolCfg.VolRef.AutnAdjTms ,Inverter.VArModCfg.VArCtlVolCfg.VolRef.AutnAdjTms ,"Q(V), setting time of automatic reference voltage adaption	","Q(V), setting time of automatic reference voltage adaption	",QV_VREF_TIME-SS*3
QV_CURVE_V2-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[1],Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[1],"Q(V), voltage value [B]	","Q(V), voltage value [B]	",QV_CURVE_V2-SS
QV_CURVE_Q2-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[1],Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[1],"Q(V), reactive power value [B]	","Q(V), reactive power value [B]	",QV_CURVE_Q2-SS*100
QV_CURVE_V3-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[2],Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[2],"Q(V), voltage value [C]	","Q(V), voltage value [C]	",QV_CURVE_V3-SS
QV_CURVE_Q3-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[2],Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[2],"Q(V), reactive power value [C]	","Q(V), reactive power value [C]	",QV_CURVE_Q3-SS*100
QV_CURVE_V1-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[0],Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[0],"Q(V), voltage value [A]	","Q(V), voltage value [A]	",QV_CURVE_V1-SS
QV_CURVE_Q1-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[0],Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[0],"Q(V), reactive power value [A]	","Q(V), reactive power value [A]	",QV_CURVE_Q1-SS*100
QV_CURVE_V4-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[3],Inverter.VArModCfg.VArCtlVolCfg.Crv.Xval[3],"Q(V), voltage value [D]	","Q(V), voltage value [D]	",QV_CURVE_V4-SS
