sep=;
"Version";"4";;;;;
"Language";"en-GB";;;;;
"Local export date";"24.10.2024 13:45:49";;;;;
"Export UTC date";"2024-10-24T20:45:49.126Z";;;;;
"Time zone";"America/Los_Angeles";;;;;
"User name";"admin";;;;;
"Level";"Device";;;;;
"System ID";"Plant:1";;;;;
"System name";"My plant";;;;;
"Device ID";"IGULD:SELF";;;;;
"Device name";"3015507996";;;;;
"Serial number of device";"3015507996";;;;;
"";"";;;;;
"Group";"Name";"Value";"Translated value";"Unit";"Channel";"Access"
"User Rights";"Set installer password";"****";"****";"";"Parameter.Acs.PwdIstl";"RW"
"User Rights";"Set user password";"****";"****";"";"Parameter.Acs.PwdUsr";"RW"
"Device";"Fan test";"303";"Off";"";"Parameter.Coolsys.FanTst";"RW"
"DC Side";"Constant voltage setpoint";"1000";"1000";"V";"Parameter.DcCfg.ConstVolCtl.Vset[0]";"RW"
"DC Side";"Constant voltage setpoint";"1000";"1000";"V";"Parameter.DcCfg.ConstVolCtl.Vset[1]";"RW"
"DC Side";"Constant voltage setpoint";"1000";"1000";"V";"Parameter.DcCfg.ConstVolCtl.Vset[2]";"RW"
"DC Side";"Cycle time of SMA ShadeFix";"360";"360";"s";"Parameter.DcCfg.MPPShdw.CycTms";"RW"
"DC Side";"SMA ShadeFix";"1129";"Yes";"";"Parameter.DcCfg.MPPShdw.IsOn";"RW"
"DC Side";"Critical voltage to end feed-in";"100";"100";"V";"Parameter.DcCfg.StopVol[0]";"RW"
"DC Side";"Critical voltage to end feed-in";"100";"100";"V";"Parameter.DcCfg.StopVol[1]";"RW"
"DC Side";"Critical voltage to end feed-in";"100";"100";"V";"Parameter.DcCfg.StopVol[2]";"RW"
"DC Side";"Start delay input";"1";"1";"s";"Parameter.DcCfg.StrTms";"RW"
"DC Side";"Minimum voltage input";"188";"188";"V";"Parameter.DcCfg.StrVol[0]";"RW"
"DC Side";"Minimum voltage input";"188";"188";"V";"Parameter.DcCfg.StrVol[1]";"RW"
"DC Side";"Minimum voltage input";"188";"188";"V";"Parameter.DcCfg.StrVol[2]";"RW"
"DC Side";"Maximum allowed voltage input";"1040";"1040";"V";"Parameter.DcCfg.VolLim";"RW"
"System communication";"Device updates activated";"1129";"Yes";"";"Parameter.DevUpd.IsOn";"RW"
"Device";"NTP server";"";"";"";"Parameter.DtTm.NtpSrv";"RW"
"Further Applications";"FTP Push active";"1130";"No";"";"Parameter.FTPPush.IsOn";"RW"
"Further Applications";"FTP Push Login";"";"";"";"Parameter.FTPPush.Login";"RW"
"Further Applications";"FTP Push server Port";"21";"21";"";"Parameter.FTPPush.Port";"RW"
"Further Applications";"FTP Push Password";"****";"****";"";"Parameter.FTPPush.Pwd";"RW"
"Further Applications";"FTP Push server path";"";"";"";"Parameter.FTPPush.RemStoLcn";"RW"
"Further Applications";"FTP Push Server Address";"";"";"";"Parameter.FTPPush.Srv";"RW"
"Further Applications";"Cycle of FTP push upload";"1189";"daily";"";"Parameter.FTPPush.UpldCyc";"RW"
"Grid Monitoring";"Country standard set";"7631";"[US] UL1741/SB Cat.B-II";"";"Parameter.GridGuard.Cntry";"RO"
"Grid Monitoring";"Islanding detection, permissible grid unbalance";"50";"50";"%";"Parameter.GridGuard.Cntry.Aid.AsymDet.AsymMax";"RW"
"Grid Monitoring";"Islanding detection, tripping time of the unbalance detection";"5000";"5000";"ms";"Parameter.GridGuard.Cntry.Aid.AsymDet.AsymMaxTmms";"RW"
"Grid Monitoring";"Islanding detection, status of the unbalance detection";"303";"Off";"";"Parameter.GridGuard.Cntry.Aid.AsymDet.Stt";"RW"
"Grid Monitoring";"Islanding detection, tripping time of the frequency monitor";"2000";"2000";"ms";"Parameter.GridGuard.Cntry.Aid.HzMon.HzMonTmms";"RW"
"Grid Monitoring";"Islanding detection, status of frequency monitor";"308";"On";"";"Parameter.GridGuard.Cntry.Aid.HzMon.Stt";"RW"
"Grid Monitoring";"Tripping threshold DC current monitoring";"1";"1";"A";"Parameter.GridGuard.Cntry.AMaxOfs";"RW"
"Grid Monitoring";"DC monitoring mode";"4510";"Tripping threshold DC current monitoring in %";"";"Parameter.GridGuard.Cntry.AMaxOfsMod";"RW"
"Grid Monitoring";"Tripping threshold DC current monitoring";"0.5";"0.5";"%";"Parameter.GridGuard.Cntry.AMaxOfsNom";"RW"
"Grid Monitoring";"Tripping time DC current monitoring for % tripping threshold";"10000";"10000";"ms";"Parameter.GridGuard.Cntry.AMaxOfsNomTmms";"RW"
"Grid Monitoring";"Tripping time DC current monitoring";"10000";"10000";"ms";"Parameter.GridGuard.Cntry.AMaxOfsTmms";"RW"
"Grid Monitoring";"Frequency monitoring, max. frequency change per second";"10";"10";"Hz/s";"Parameter.GridGuard.Cntry.FrqCtl.ChgMax";"RW"
"Grid Monitoring";"Frequency monitoring, maximum frequency change tripping time";"10000";"10000";"ms";"Parameter.GridGuard.Cntry.FrqCtl.ChgMaxTmms";"RW"
"Grid Monitoring";"Maximum connection frequency after restart";"60.1";"60.1";"Hz";"Parameter.GridGuard.Cntry.FrqCtl.ConnMax";"RW"
"Grid Monitoring";"Minimum connection frequency after restart";"59.5";"59.5";"Hz";"Parameter.GridGuard.Cntry.FrqCtl.ConnMin";"RW"
"Grid Monitoring";"Frequency monitoring, lower maximum threshold";"61.2";"61.2";"Hz";"Parameter.GridGuard.Cntry.FrqCtl.hLim";"RW"
